product_id,product_name,product_url,reviewer_name,rating,sentiment,confidence,score,roberta_label,method,title,review_text,date,verified_purchase,helpful_count
475148921,,https://www.walmart.com/ip/Alimens-Gentle-Mens-Long-Sleeve-Red-Plaid-Flannel-Shirts-Casual-Button-Down-Regular-Fit/475148921?classType=VARIANT,Anonymous,,positive,0.98,0.99,positive,roberta,Quality and comfort,"This shirt was delivered fast, honestly i didn't expect much from ealmart but i opened the package and immediately loved it. The quality of the fabric the fit the way the colors hold after a wash. I couldn't ask for more.currently searching for more products from this brand",,False,0
475148921,,https://www.walmart.com/ip/Alimens-Gentle-Mens-Long-Sleeve-Red-Plaid-Flannel-Shirts-Casual-Button-Down-Regular-Fit/475148921?classType=VARIANT,Anonymous,,positive,0.9797,0.9899,positive,roberta,FLANNEL SHIRTS WE LOVE,"These shirts r wonderful, got green %26 black for husband %26 son. Had been looking for these colors for a year %26 finally found on Walmart. These shirts run large, had to reorder a Large %26 enlarge, fit perfect, r heavier material than regular flannel %26 r a longer length. Just what I was looking for since Christmas last year. The guys both loved them after getting right sizes, am thinking of getting the orange %26 navy for them. Just remember they do run large.",,False,0
475148921,,https://www.walmart.com/ip/Alimens-Gentle-Mens-Long-Sleeve-Red-Plaid-Flannel-Shirts-Casual-Button-Down-Regular-Fit/475148921?classType=VARIANT,Anonymous,,positive,0.9794,0.9897,positive,roberta,"Hunky lookin' , Eye catchin' Flannel Shirts!","So happy that I got the jump on buyers for these flannel shirts for my honey!! Fit is just right; colors are rich. I bought two and they are perfect with khaki and black pants...and jeans. Rich colors; Perfect weight of fabric for the early fall temps. Just add a tee with coordinating color when cooler weather prevails. Shirts have been washed and dried , using warm temps. NO SHRINKAGE!..",,False,0
475148921,,https://www.walmart.com/ip/Alimens-Gentle-Mens-Long-Sleeve-Red-Plaid-Flannel-Shirts-Casual-Button-Down-Regular-Fit/475148921?classType=VARIANT,Anonymous,,positive,0.9407,0.9703,positive,roberta,Men's shirt,"I bought this shirt for my dad. It's true to size, fits well. I like the color and pattern, and it's a nice color and soft flannel. My dad says he likes how it fits.",,False,0
475148921,,https://www.walmart.com/ip/Alimens-Gentle-Mens-Long-Sleeve-Red-Plaid-Flannel-Shirts-Casual-Button-Down-Regular-Fit/475148921?classType=VARIANT,Anonymous,,positive,0.9733,0.9866,positive,roberta,The only flannel shirts I buy!,I love these shirts. Alimens %26 Gentle Men's Flannel shirts are the ONLY ONES I buy. The quality is there! I am a female and love to layer these with a Criss Cross bralette. Totally cute and comfortable.,,False,0
475148921,,https://www.walmart.com/ip/Alimens-Gentle-Mens-Long-Sleeve-Red-Plaid-Flannel-Shirts-Casual-Button-Down-Regular-Fit/475148921?classType=VARIANT,Anonymous,,positive,0.9618,0.9809,positive,roberta,,when opening the shirts they weren't that soft but after washing and drying twice they were perfect. love them. high quality at a great price,,False,0
475148921,,https://www.walmart.com/ip/Alimens-Gentle-Mens-Long-Sleeve-Red-Plaid-Flannel-Shirts-Casual-Button-Down-Regular-Fit/475148921?classType=VARIANT,Anonymous,,neutral,0.6266,0.5,neutral,roberta,No labels,"The shirts are OK, but they do not have a brand label on them and they do not have a material label on them. They do have two little tabs and one says designed in Italy. And the other one says luxury and has some washing instructions. But if it's 100% continent should say so. If it is this particular brand, it should say so somewhere on the shirt I just find that very weird",,False,0
475148921,,https://www.walmart.com/ip/Alimens-Gentle-Mens-Long-Sleeve-Red-Plaid-Flannel-Shirts-Casual-Button-Down-Regular-Fit/475148921?classType=VARIANT,Anonymous,,positive,0.96,0.98,positive,roberta,Colors Great and Material Very Good,"The colors are great and the material is substantial. I ordered one of these for myself to have a warm, roomy shirt for the upcoming winter. It's big, but that's what I wanted. Lastly, the price was a rollback (I think) or reduced when I purchased a few months ago, which helped seal the deal.",,False,0
475148921,,https://www.walmart.com/ip/Alimens-Gentle-Mens-Long-Sleeve-Red-Plaid-Flannel-Shirts-Casual-Button-Down-Regular-Fit/475148921?classType=VARIANT,Anonymous,,positive,0.9723,0.9861,positive,roberta,Great but ran large and long,Really a 4.5 star item. Bought medium for my mother who loved the purple color. Shirt was big and very long. It would make an excellent night shirt on cold winter nights. Material was heavy and appears to be well made.,,False,0
475148921,,https://www.walmart.com/ip/Alimens-Gentle-Mens-Long-Sleeve-Red-Plaid-Flannel-Shirts-Casual-Button-Down-Regular-Fit/475148921?classType=VARIANT,Anonymous,,negative,0.9298,0.0351,negative,roberta,,This is a not-great flannel. It feels like a stiff shop towel. It is way too stiff and way to rough to be fun to wear. I bought three of them. I've been wearing one to try to break it in... and it has not worked. It is completely unpleasant to wear. I returned the other ones.,,False,0
