product_id,product_name,product_url,reviewer_name,rating,sentiment,confidence,score,roberta_label,method,title,review_text,date,verified_purchase,helpful_count,source_file
15289615155,,https://www.walmart.com/ip/SLOW-COOKER-CRP-7QT-MANUAL-MUSSEL-GRAY/15289615155,Anonymous,,neutral,0.5148,0.5,neutral,roberta,In My Crock-Pot Era,I'm a full-time STEM major and corporate employee. I don't have enough time to cook as much as I used to. We've been trying to eat at home more and slow a cooker is the best way to go. I made a delicious saucy savory chicken.,,False,0,walmart_reviews_neutral_15289615155_20251028_021610.json
559995509,,https://www.walmart.com/ip/Protege-Digital-Luggage-Scale/559995509?classType=REGULAR&athbdg=L1600,Anonymous,,neutral,0.4478,0.5,neutral,roberta,,"I was tired of weighing my bags on the bathroom scale it worked, but it was awkward. This baggage scale was perfect and accurate as I weighed bags at the airport to check accuracy.",,False,0,walmart_reviews_neutral_559995509_20251028_021716.json
559995509,,https://www.walmart.com/ip/Protege-Digital-Luggage-Scale/559995509?classType=REGULAR&athbdg=L1600,Anonymous,,neutral,0.5115,0.5,neutral,roberta,,when luggage is heavy you have to hold it and sometime it dont give the actual weight,,False,0,walmart_reviews_neutral_559995509_20251028_021716.json
559995509,,https://www.walmart.com/ip/Protege-Digital-Luggage-Scale/559995509?classType=REGULAR&athbdg=L1600,Anonymous,,neutral,0.5444,0.5,neutral,roberta,,"It's a bit difficult to lift, but gives an accurate reading quickly",,False,0,walmart_reviews_neutral_559995509_20251028_021716.json
559995509,,https://www.walmart.com/ip/Protege-Digital-Luggage-Scale/559995509?classType=REGULAR&athbdg=L1600,Anonymous,,neutral,0.5633,0.5,neutral,roberta,,In app it says delivered. But I got only one package of spider man. I didn't get the luggage weigh scale,,False,0,walmart_reviews_neutral_559995509_20251028_021716.json
999638162,,https://www.walmart.com/ip/Protege-Garment-Bag-48-in/999638162?classType=VARIANT&athbdg=L1300,Anonymous,,neutral,0.5051,0.5,neutral,roberta,Pleased traveler,"I have suitcases, but I had nothing to transport my suit and sport coat in without wrinkling them. I needed both for a trip. The bag was large enough I placed a full suit, a sport coat, slacks, and a couple dress shirts in it. The suit and sport coat were on wooden hangers, which take up more room, but I still had enough room for the rest. I was traveling by car, so I laid the garment bag on top of what else we had in the back of the car. When I carried the bag in and out of the house and where we stayed, I folded the bag in half, without wrinkling anything inside the bag. It was easy to handle, just extending my hangers through the opening at the top of the bag. I left the clothes in the bag, in the closet, until I needled them.",,False,0,walmart_reviews_neutral_999638162_20251028_021806.json
940034949,,https://www.walmart.com/ip/American-Tourister-Fieldbrook-XLT-4-Piece-Softside-Luggage-Set/940034949?classType=VARIANT,Anonymous,,neutral,0.55,0.5,neutral,roberta,Got to measure,"All carry ons are not equal and many airlines have a contraption passengers slide their bag into to make sure it fits...if not, must pay to check. I have witnessed over and over unknowing passengers complaining their luggage was advertised as carry on compliant yet the wheels caused it to be too long. As soon as this one arrived I pulled out the tape measure and found it within guidelines, whew! So it will be coming with me from now on as my carry on bag.",,False,0,walmart_reviews_neutral_940034949_20251028_021920.json
940034949,,https://www.walmart.com/ip/American-Tourister-Fieldbrook-XLT-4-Piece-Softside-Luggage-Set/940034949?classType=VARIANT,Anonymous,,neutral,0.5959,0.5,neutral,roberta,Zipper loose,The zipper on the large bag was not sew for about 10 inches. So will be returning.,,False,0,walmart_reviews_neutral_940034949_20251028_021920.json
1065878584,,https://www.walmart.com/ip/Laresar-500W-Cordless-Vacuum-50kPa-Power-Suction-60min-Runtime-Self-Standing-with-Charging-Station/1065878584?classType=VARIANT&adsRedirect=true,Anonymous,,neutral,0.4237,0.5,neutral,roberta,Good vacuum overall.,My only complaint is the vacuum doesn't stand by itself. I think it's supposed to. the vacuum part is heavy and the vacuum stick and brush head are super light. It does come with a wall mount but I don't have room to hang it anywhere.,,False,0,walmart_reviews_neutral_1065878584_20251028_022022.json
1153388811,,https://www.walmart.com/ip/ChVans-35-6-Square-Lift-Top-Coffee-Table-Farmhouse-Coffee-Table-Storage-Charging-Ports-Wood-Center-Table-w-Large-Hidden-Space-Living-Room-Home-Office/1153388811?classType=VARIANT&adsRedirect=true,Anonymous,,neutral,0.4535,0.5,neutral,roberta,color is not as pictured in ad online,The color is not as pictured or described in ad. it is well constructed and nice. i gave it a 3 bc of the color not being what i was expecting which makes it difficult whwn you are trying to decorate. the other issue is the plug where it is located. might work in between couches better than in front so cord is not running as a trip hazard. so recommending it is both yes and no.,,False,0,walmart_reviews_neutral_1153388811_20251028_022200.json
1153388811,,https://www.walmart.com/ip/ChVans-35-6-Square-Lift-Top-Coffee-Table-Farmhouse-Coffee-Table-Storage-Charging-Ports-Wood-Center-Table-w-Large-Hidden-Space-Living-Room-Home-Office/1153388811?classType=VARIANT&adsRedirect=true,Anonymous,,neutral,0.5187,0.5,neutral,roberta,,Assembly little rough. the plug goes across floor to be plugged in but it doesn’t bother me too much. The chord needs to be longer. It is great having the plug to it but having the chord along floor is an eyesore. We have it going directly under couch.,,False,0,walmart_reviews_neutral_1153388811_20251028_022200.json
2294455888,,https://www.walmart.com/ip/Mainstays-Lift-Top-Coffee-Table-with-Storage-Shelf-Black-wood-finish/2294455888?classType=REGULAR,Anonymous,,neutral,0.5275,0.5,neutral,roberta,,"This took alot of work to assemble even with two ppl, only because the instructions were unclear. Download the app that comes on a paper in the box, it will help. Would order again. Springs make noise when opening and closing. Maybe DW40 will help... plenty of storage. Solid/Sturdy!",,False,0,walmart_reviews_neutral_2294455888_20251028_022313.json
2294455888,,https://www.walmart.com/ip/Mainstays-Lift-Top-Coffee-Table-with-Storage-Shelf-Black-wood-finish/2294455888?classType=REGULAR,Anonymous,,neutral,0.3781,0.5,neutral,roberta,,If you want coffee table to look nice and be affordable this is it for you. The quality is pretty meh but as long as you don't body slam someone on it you should be good,,False,0,walmart_reviews_neutral_2294455888_20251028_022313.json
