product_id,product_name,product_url,reviewer_name,rating,sentiment,confidence,score,roberta_label,method,title,review_text,date,verified_purchase,helpful_count
5439978349,,https://www.walmart.com/ip/Great-Value-Pure-Maple-Syrup-8-fl-oz/5439978349?classType=REGULAR&from=/search,Anonymous,,positive,0.8171,0.9086,positive,roberta,Great Quality Pure Maple Syrup at Great Value,"I usually don't buy this item in generic or store brands because of ill perceived notions the quality is not as good. Thanks to budget restraints, I am happy to report that my default bias against store brands being lesser quality has been disproven. The Great Value Pure Maple Syrup exceeded my expectations by far as I found the syrup to be of full flavored and rich tasting. I will definitely be placing this item among my list of regular items that I buy monthly, and best part, is I'm enjoying the luxurious taste of Pure Maple syrup, at a ‘ Great Value'. Thanks-You, Walmart! - Bobby B. Walmart Member since 2025 Eugene, Oregon",,False,0
5439978349,,https://www.walmart.com/ip/Great-Value-Pure-Maple-Syrup-8-fl-oz/5439978349?classType=REGULAR&from=/search,Anonymous,,positive,0.9259,0.9629,positive,roberta,Good upgrade for pancakes,"I like maple syrup. Easier on the glucose readings; light texture; and natural product. Must be refrigerated after opening, so I usually buy the small container since I only use it occasionally.",,False,0
5439978349,,https://www.walmart.com/ip/Great-Value-Pure-Maple-Syrup-8-fl-oz/5439978349?classType=REGULAR&from=/search,Anonymous,,positive,0.9808,0.9904,positive,roberta,YUMMMM,"We live in the Northwoods of Wisconsin where we can get pure maple syrup easily. This was fantastic! It's not syrup season here, so I had to pinch hit, and this did not disappoint.",,False,0
5439978349,,https://www.walmart.com/ip/Great-Value-Pure-Maple-Syrup-8-fl-oz/5439978349?classType=REGULAR&from=/search,Anonymous,,positive,0.986,0.993,positive,roberta,Great taste at a good price,"Love this affordable maple syrup, especially for baking. We use a lot of maple syrup for breakfast and when making granola. This product consistently takes great!",,False,0
5439978349,,https://www.walmart.com/ip/Great-Value-Pure-Maple-Syrup-8-fl-oz/5439978349?classType=REGULAR&from=/search,Anonymous,,positive,0.9722,0.9861,positive,roberta,,this is our favorite maple syrup. It taste so good and it's 100% affordable. I don't think my toddler has ever had fake maple syrup. We make sure to always have this in the house.,,False,0
5439978349,,https://www.walmart.com/ip/Great-Value-Pure-Maple-Syrup-8-fl-oz/5439978349?classType=REGULAR&from=/search,Anonymous,,negative,0.9035,0.0483,negative,roberta,Didn't care for this one,"It was watered down if you asked me. Maple Syrup is usually thicker. There just wasn't any ""taste"" to this particular batch. Overall, watery and thin and bland",,False,0
5439978349,,https://www.walmart.com/ip/Great-Value-Pure-Maple-Syrup-8-fl-oz/5439978349?classType=REGULAR&from=/search,Anonymous,,positive,0.6772,0.8386,positive,roberta,,I liked what I was buying before because I liked what it tasted like. I'm changing what I'm buying now because I need to go on a diet so it won't be the same thing. I hope I'm finding things that I can enjoy eating.,,False,0
5439978349,,https://www.walmart.com/ip/Great-Value-Pure-Maple-Syrup-8-fl-oz/5439978349?classType=REGULAR&from=/search,Anonymous,,positive,0.6706,0.8353,positive,roberta,Watery but better than imitation.,"For a ""discount"" item, it was good. It's a little watery for my taste which to me suggests it's very thinned out. Careful of the pour or your waffles will swim. I would love to see a little stronger consistency, but with two girls who make waffles and pancakes about every other day, I'll take watery at a discount. Decent flavor. I encourage my girls to experiment with spices to make it as flavorful as the higher more ""designer"" maples. A mason jar, cheese cloth wrapped spices like cinnamon and vanilla sticks, and the maple over a couple days-yummy.",,False,0
5439978349,,https://www.walmart.com/ip/Great-Value-Pure-Maple-Syrup-8-fl-oz/5439978349?classType=REGULAR&from=/search,Anonymous,,neutral,0.4824,0.5,neutral,roberta,Just ok,I got this because I only needed a small amount. I am used to locally made syrup. This was thin and tasted like flavoring was added. Could just be my old tongue lol,,False,0
5439978349,,https://www.walmart.com/ip/Great-Value-Pure-Maple-Syrup-8-fl-oz/5439978349?classType=REGULAR&from=/search,Anonymous,,negative,0.8912,0.0544,negative,roberta,"Nice packing, not nice syrup","Really didn't like this syrup. I've been buying the cheap stuff all my life and I'll just keep going with that, this fancy stuff had little flavor and left an aftertaste that I can't even describe. The bottle is nice tho, I can appreciate the nice packaging! And it smells good too. I just didn't like how it tasted.",,False,0
5439978349,,https://www.walmart.com/ip/Great-Value-Pure-Maple-Syrup-8-fl-oz/5439978349?classType=REGULAR&from=/search,Anonymous,,negative,0.9332,0.0334,negative,roberta,Definitely not vermont maples,"After trying real vermont maple syrup, this just comes nowhere close. It's pretty bland, definitely not a high quality product.",,False,0
5439978349,,https://www.walmart.com/ip/Great-Value-Pure-Maple-Syrup-8-fl-oz/5439978349?classType=REGULAR&from=/search,Anonymous,,positive,0.9821,0.991,positive,roberta,delicious,"It tastes like Maple syrup, just how I like it! Thank you for having an option of great value maple syrup that don't cost a lot.",,False,0
5439978349,,https://www.walmart.com/ip/Great-Value-Pure-Maple-Syrup-8-fl-oz/5439978349?classType=REGULAR&from=/search,Anonymous,,positive,0.9506,0.9753,positive,roberta,Smooth Maple,I make pancakes most mornings. This is the Maple Syrup my family prefers. This smooth pure maple syrup is a must in our house.,,False,0
5439978349,,https://www.walmart.com/ip/Great-Value-Pure-Maple-Syrup-8-fl-oz/5439978349?classType=REGULAR&from=/search,Anonymous,,positive,0.9658,0.9829,positive,roberta,Good tasting syrup,I have purchased many different brands of Maple Syrup and Walmarts brand is right up with the best of them,,False,0
5439978349,,https://www.walmart.com/ip/Great-Value-Pure-Maple-Syrup-8-fl-oz/5439978349?classType=REGULAR&from=/search,Anonymous,,positive,0.9568,0.9784,positive,roberta,Pretty Good Overall,Had to switch to pure maple syrup due to diet restrictions. It was a new taste for me but pretty good overall considering the change!,,False,0
5439978349,,https://www.walmart.com/ip/Great-Value-Pure-Maple-Syrup-8-fl-oz/5439978349?classType=REGULAR&from=/search,Anonymous,,positive,0.9799,0.9899,positive,roberta,,Tasted great! I used it in place of honey and it was a great alternative to make “Honey Garlic Sauce”,,False,0
5439978349,,https://www.walmart.com/ip/Great-Value-Pure-Maple-Syrup-8-fl-oz/5439978349?classType=REGULAR&from=/search,Anonymous,,positive,0.9784,0.9892,positive,roberta,,This is very good considering the name brand. I will always buy this brand. It is comparable to the other.,,False,0
5439978349,,https://www.walmart.com/ip/Great-Value-Pure-Maple-Syrup-8-fl-oz/5439978349?classType=REGULAR&from=/search,Anonymous,,positive,0.9838,0.9919,positive,roberta,Great Value Maple Syrup,Great Value Maple Syrup has a great texture in flavor. Bottom line it's a great choice of maple syrup for the price.,,False,0
5439978349,,https://www.walmart.com/ip/Great-Value-Pure-Maple-Syrup-8-fl-oz/5439978349?classType=REGULAR&from=/search,Anonymous,,positive,0.9753,0.9876,positive,roberta,Great Value Maple Syrup kicks butt,"I believe this maple syrup rivals all the ""fancy"" brands, but is MUCH more affordable. Great choice for families on a budget like mine.",,False,0
5439978349,,https://www.walmart.com/ip/Great-Value-Pure-Maple-Syrup-8-fl-oz/5439978349?classType=REGULAR&from=/search,Anonymous,,negative,0.883,0.0585,negative,roberta,,Didn't really care for the taste of it! My grandson makes maple syrup and this really didn't have a lot of maple flavor to it!,,False,0
5439978349,,https://www.walmart.com/ip/Great-Value-Pure-Maple-Syrup-8-fl-oz/5439978349?classType=REGULAR&from=/search,Anonymous,,positive,0.988,0.994,positive,roberta,,"love it , you can really taste the differrence, i wAs surprised excellent shipping came very quickly thank you. walmart. jmkeil",,False,0
5439978349,,https://www.walmart.com/ip/Great-Value-Pure-Maple-Syrup-8-fl-oz/5439978349?classType=REGULAR&from=/search,Anonymous,,positive,0.9883,0.9941,positive,roberta,The best of both worlds,A delicious product at a great price!,,False,0
